Periode,Année,Mois,Production totale brute d'electricite (en GWh),Production totale nette d'electricite (en GWh),Production brute d'electricite primaire (en GWh),Production nette d'electricite primaire (en GWh),Production brute d'electricite nucleaire (en GWh),Production nette d'electricite nucleaire (en GWh),Production brute d'electricite hydraulique (en GWh),Production nette d'electricite hydraulique (en GWh),Production brute d'electricite eolienne (en GWh),Production nette d'electricite eolienne (en GWh),Production brute d'electricite photovoltaeque (en GWh),Production nette d'electricite photovoltaeque (en GWh),Production brute d'electricite thermique (en GWh),Production nette d'electricite thermique (en GWh),electricite absorbee pour les pompages (en GWh),Total des importations physiques d'electricite (en GWh),Total des exportations physiques d'electricite (en GWh),Energie appelee reelle yc pertes (consommation calculee yc pertes) (en GWh),Livraisons en basse tension (BT : FC + Corse) (en GWh),Livraisons en moyenne tension (MT : FC + Corse) (en GWh),Livraisons en haute tension (en GWh),Energie appelee reelle yc pertes corrigee du climat (en GWh),Livraisons en basse tension corrigees du climat (en GWh),Livraisons en moyenne tension corrigees du climat (en GWh),Consommation d'electricite primaire (en GWh),Consommation d'electricite primaire corrigee du climat (en GWh),Puissance maximale appelee (en GW),Indice de rigueur climatique pour la France metropolitaine (ref.1 pour la periode 1986-2015) (sans unite)
sept.82,1982,9,19438.279,18552.000,11526.439,11088.000, 7168.057, 6783.000, 4358.382, 4305.000,    0.000,    0.000,    0.000,    0.000, 7911.840, 7464.000,   79.000,  988.000,  569.000,18892.000, 5031.000, 5483.000, 6090.000,18892.000, 5031.000, 5483.000,11428.000,11428.000,   34.100,    1.000
oct.82,1982,10,22763.256544,21774.000000,12879.816544,12450.000000, 6560.415744, 6208.000000, 6319.400800, 6242.000000,    0.000000,    0.000000,    0.000000,    0.000000, 9883.440000, 9324.000000,   79.000000, 1319.000000,  882.000000,22132.000000, 7028.000000, 5646.000000, 6330.000000,21123.473656, 6302.779603, 5505.232929,12808.000000,12155.304651,   37.800000,    1.255697
nov.82,1982,11,2.406313e+04,2.300500e+04,1.452631e+04,1.400800e+04,8.207917e+03,7.767000e+03,6.318388e+03,6.241000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.536820e+03,8.997000e+03,8.500000e+01,1.057000e+03,8.820000e+02,2.309500e+04,8.495000e+03,5.992000e+03,5.666000e+03,2.354702e+04,8.837399e+03,6.044038e+03,1.409800e+04,1.435760e+04,4.260000e+01,9.139014e-01
dec.82,1982,12,28514.618000,27275.000000,20618.678000,19826.000000,13024.665600,12325.000000, 7594.012400, 7501.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7895.940000, 7449.000000,  107.000000,  691.000000, 1399.000000,26460.000000,10792.000000, 6521.000000, 5426.000000,26447.403070,10782.456846, 6519.717697,19011.000000,19003.151139,   43.200000,    1.001967
janv.83,1983,1,2.894521e+04,2.769200e+04,2.071325e+04,1.992600e+04,1.380868e+04,1.310600e+04,6.904568e+03,6.820000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.231960e+03,7.766000e+03,1.400000e+02,7.520000e+02,1.397000e+03,2.690700e+04,1.115900e+04,6.480000e+03,5.613000e+03,2.759366e+04,1.168670e+04,6.545681e+03,1.914100e+04,1.957308e+04,4.520000e+01,8.996579e-01
fevr.83,1983,2,27125.35170,25952.00000,17689.23170,17050.00000,10936.52370,10380.00000, 6752.70800, 6670.00000,    0.00000,    0.00000,    0.00000,    0.00000, 9436.12000, 8902.00000,   95.00000, 1075.00000, 1089.00000,25843.00000,11013.00000, 6376.00000, 5172.00000,24653.63313,10100.20823, 6250.47169,16941.00000,16224.17336,   46.30000,    1.20083
X1983.03.01,1983,3,27078.168855,25900.000000,17884.788855,17227.000000,11354.808855,10777.000000, 6529.980000, 6450.000000,    0.000000,    0.000000,    0.000000,    0.000000, 9193.380000, 8673.000000,  111.000000,  668.000000, 1256.000000,25201.000000, 9413.000000, 6681.000000, 5796.000000,24617.241705, 8977.236114, 6609.701902,16528.000000,16144.863841,   42.200000,    1.107869
avr.83,1983,4,24365.18206,23337.00000,17094.64206,16478.00000,10540.36446,10004.00000, 6554.27760, 6474.00000,    0.00000,    0.00000,    0.00000,    0.00000, 7270.54000, 6859.00000,   95.00000,  607.00000, 1505.00000,22344.00000, 8011.00000, 5757.00000, 5675.00000,21454.24605, 7349.63178, 5644.13415,15485.00000,14832.46870,   40.10000,    1.19997
X1983.05.01,1983,5,22627.938820,21763.000000,17698.938820,17113.000000, 9554.180820, 9068.000000, 8144.758000, 8045.000000,    0.000000,    0.000000,    0.000000,    0.000000, 4929.000000, 4650.000000,  157.000000,  750.000000, 1970.000000,20386.000000, 6593.000000, 5489.000000, 5781.000000,17970.686637, 4875.195442, 5090.413770,15736.000000,13423.609408,   35.900000,    1.783013
X1983.06.01,1983,6,20992.824,20183.000,16555.664,15997.000, 9210.702, 8742.000, 7344.962, 7255.000,    0.000,    0.000,    0.000,    0.000, 4437.160, 4186.000,  213.000,  517.000, 1708.000,18779.000, 4990.000, 5659.000, 5755.000,18779.000, 4990.000, 5659.000,14593.000,14593.000,   32.700,    1.000
